iter	Passed	Remaining
0	135	135536
1	136	68033
2	136	45498
3	137	34225
4	137	27461
5	138	22951
6	139	19728
7	139	17325
8	140	15454
9	140	13948
10	141	12727
11	142	11703
12	142	10839
13	143	10095
14	143	9451
15	144	8893
16	145	8399
17	146	7971
18	146	7575
19	147	7223
20	147	6896
21	148	6603
22	149	6336
23	151	6149
24	151	5927
25	152	5721
26	153	5527
27	154	5347
28	155	5192
29	156	5057
30	157	4920
31	158	4794
32	159	4686
33	160	4563
34	162	4469
35	163	4366
36	163	4262
37	164	4163
38	165	4079
39	166	4005
40	167	3927
41	168	3851
42	169	3778
43	170	3706
44	171	3646
45	172	3576
46	173	3510
47	173	3447
48	174	3387
49	175	3334
50	176	3282
51	177	3235
52	178	3183
53	178	3132
54	179	3092
55	180	3046
56	181	3005
57	182	2967
58	183	2931
59	185	2900
60	186	2866
61	187	2832
62	187	2792
63	188	2756
64	189	2721
65	190	2689
66	190	2658
67	192	2633
68	192	2601
69	193	2576
70	194	2550
71	195	2522
72	196	2498
73	197	2470
74	197	2441
75	198	2414
76	199	2395
77	200	2370
78	201	2354
79	202	2329
80	203	2304
81	203	2282
82	205	2266
83	206	2249
84	206	2226
85	207	2204
86	208	2182
87	209	2168
88	210	2149
89	211	2136
90	212	2118
91	212	2099
92	213	2084
93	215	2072
94	216	2062
95	217	2045
96	217	2028
97	218	2011
98	219	1995
99	219	1978
100	221	1970
101	221	1953
102	222	1937
103	222	1920
104	223	1905
105	224	1893
106	225	1884
107	226	1874
108	227	1862
109	228	1848
110	229	1838
111	230	1826
112	231	1817
113	232	1807
114	233	1795
115	233	1782
116	234	1770
117	235	1763
118	236	1753
119	237	1745
120	238	1733
121	239	1724
122	240	1712
123	241	1704
124	242	1695
125	243	1690
126	244	1680
127	245	1669
128	245	1659
129	246	1650
130	247	1641
131	248	1634
132	249	1624
133	250	1620
134	251	1611
135	252	1603
136	253	1596
137	254	1586
138	254	1577
139	255	1569
140	256	1560
141	257	1553
142	258	1550
143	259	1543
144	260	1535
145	261	1530
146	262	1523
147	264	1522
148	265	1514
149	265	1506
150	266	1499
151	267	1492
152	268	1485
153	270	1484
154	272	1483
155	272	1475
156	273	1469
157	274	1462
158	275	1456
159	276	1451
160	277	1444
161	278	1439
162	279	1433
163	280	1432
164	281	1427
165	282	1420
166	283	1415
167	285	1412
168	286	1407
169	286	1401
170	287	1395
171	288	1389
172	289	1383
173	290	1377
174	291	1372
175	291	1366
176	292	1360
177	293	1353
178	294	1349
179	294	1342
180	295	1335
181	296	1333
182	297	1327
183	297	1321
184	299	1318
185	300	1313
186	301	1309
187	302	1305
188	302	1299
189	303	1295
190	304	1289
191	305	1284
192	306	1280
193	306	1275
194	307	1269
195	308	1265
196	309	1260
197	309	1255
198	310	1251
199	311	1247
200	312	1243
201	313	1239
202	314	1234
203	315	1230
204	316	1226
205	317	1222
206	317	1217
207	318	1214
208	319	1209
209	321	1210
210	322	1205
211	323	1202
212	324	1197
213	324	1193
214	326	1190
215	326	1185
216	327	1183
217	328	1178
218	330	1178
